"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"
"194"	"ENSG00000263599"	"chr17"	4778921	4779205	"+"	285
"195"	"ENSG00000264113"	"chr17"	4786270	4786591	"+"	322
"196"	"ENSG00000108556"	"chr17"	4801069	4802186	"-"	2641
"197"	"ENSG00000205710"	"chr17"	4802713	4803123	"+"	3408
"198"	"ENSG00000185245"	"chr17"	4835592	4835660	"+"	2501
"199"	"ENSG00000108528"	"chr17"	4840425	4841191	"-"	2669
"200"	"ENSG00000108523"	"chr17"	4843303	4843655	"+"	2744
"201"	"ENSG00000108518"	"chr17"	4848947	4849292	"-"	1987
"202"	"ENSG00000108515"	"chr17"	4851387	4851668	"+"	4292
"203"	"ENSG00000091640"	"chr17"	4862521	4863211	"-"	2831
"204"	"ENSG00000108509"	"chr17"	4871287	4872114	"-"	6012
"205"	"ENSG00000262429"	"chr17"	4871290	4871461	"+"	474
"206"	"ENSG00000234203"	"chr17"	4876146	4876262	"+"	439
"207"	"ENSG00000262678"	"chr17"	4889761	4889789	"+"	542
"208"	"ENSG00000203562"	"chr17"	4890302	4890937	"+"	669
"209"	"ENSG00000262227"	"chr17"	4891001	4891520	"+"	551
"210"	"ENSG00000196388"	"chr17"	4891425	4891849	"-"	1553
"211"	"ENSG00000129250"	"chr17"	4901243	4901451	"+"	8580
"212"	"ENSG00000227495"	"chr17"	4922509	4922946	"-"	583
"213"	"ENSG00000132517"	"chr17"	4935895	4936464	"-"	3934
"214"	"ENSG00000262495"	"chr17"	4963651	4963702	"+"	416
"215"	"ENSG00000262693"	"chr17"	4978973	4979235	"-"	490
"216"	"ENSG00000180787"	"chr17"	4981543	4981870	"+"	5206
"217"	"ENSG00000167840"	"chr17"	5008836	5009828	"-"	2794
"218"	"ENSG00000234327"	"chr17"	5014763	5014935	"+"	856
"219"	"ENSG00000129204"	"chr17"	5019733	5020035	"+"	11270
"220"	"ENSG00000262855"	"chr17"	5030035	5030305	"-"	271
"221"	"ENSG00000180626"	"chr17"	5082831	5087692	"-"	5314
"222"	"ENSG00000261879"	"chr17"	5095379	5095458	"+"	2190
"223"	"ENSG00000161929"	"chr17"	5112256	5114250	"-"	4208
"224"	"ENSG00000263164"	"chr17"	5143803	5143881	"-"	498
"225"	"ENSG00000029725"	"chr17"	5185558	5185815	"+"	6555
"226"	"ENSG00000108559"	"chr17"	5264258	5265381	"-"	5294
"227"	"ENSG00000263220"	"chr17"	5267610	5267740	"-"	512
"228"	"ENSG00000129197"	"chr17"	5322961	5323611	"+"	7430
"229"	"ENSG00000263272"	"chr17"	5328459	5328813	"-"	1938
"230"	"ENSG00000108561"	"chr17"	5336097	5336484	"-"	2335
"231"	"ENSG00000005100"	"chr17"	5344232	5347833	"-"	5872
"232"	"ENSG00000262099"	"chr17"	5372412	5372459	"+"	398
"233"	"ENSG00000072849"	"chr17"	5374571	5378109	"-"	6386
"234"	"ENSG00000167842"	"chr17"	5389605	5390004	"+"	3157
"235"	"ENSG00000091592"	"chr17"	5402747	5403270	"-"	12811
"236"	"ENSG00000253071"	"chr17"	5417529	5417590	"-"	62
"237"	"ENSG00000262961"	"chr17"	5633609	5634405	"+"	797
"238"	"ENSG00000179314"	"chr17"	5675554	5676347	"+"	9082
"239"	"ENSG00000262231"	"chr17"	6092681	6093183	"-"	591
"240"	"ENSG00000206618"	"chr17"	6110483	6110589	"+"	107
"241"	"ENSG00000262609"	"chr17"	6225733	6226080	"-"	476
"242"	"ENSG00000129221"	"chr17"	6297013	6297170	"-"	3985
"243"	"ENSG00000262818"	"chr17"	6321005	6321215	"+"	278
"244"	"ENSG00000129195"	"chr17"	6347735	6347808	"+"	2823
"245"	"ENSG00000091622"	"chr17"	6354584	6358963	"-"	10609
"246"	"ENSG00000198920"	"chr17"	6481468	6483184	"-"	6299
"247"	"ENSG00000200914"	"chr17"	6504264	6504371	"-"	108
"248"	"ENSG00000129235"	"chr17"	6544078	6547861	"+"	3784
"249"	"ENSG00000108590"	"chr17"	6546635	6547979	"-"	2103
"250"	"ENSG00000212734"	"chr17"	6554971	6556791	"+"	1821
"251"	"ENSG00000256806"	"chr17"	6555059	6555548	"+"	1557
"252"	"ENSG00000261996"	"chr17"	6556783	6557542	"-"	879
"253"	"ENSG00000264468"	"chr17"	6558759	6558828	"-"	70
"254"	"ENSG00000141485"	"chr17"	6588032	6593401	"-"	8982
"255"	"ENSG00000262990"	"chr17"	6653004	6653297	"-"	294
"256"	"ENSG00000244283"	"chr17"	6653037	6653507	"+"	471
"257"	"ENSG00000132530"	"chr17"	6658766	6659575	"+"	6668
"258"	"ENSG00000177294"	"chr17"	6679542	6679591	"+"	2918
"259"	"ENSG00000167858"	"chr17"	6692452	6692649	"-"	3847
"260"	"ENSG00000262943"	"chr17"	6757180	6757379	"+"	5655
"261"	"ENSG00000215067"	"chr17"	6779954	6780206	"-"	3217
"262"	"ENSG00000262503"	"chr17"	6830791	6831510	"-"	720
"263"	"ENSG00000263316"	"chr17"	6857417	6857618	"-"	539
"264"	"ENSG00000267047"	"chr17"	6888813	6888859	"-"	498
"265"	"ENSG00000262089"	"chr17"	6897961	6898027	"-"	343
"266"	"ENSG00000108839"	"chr17"	6899384	6899571	"+"	2616
"267"	"ENSG00000219200"	"chr17"	6915736	6917136	"+"	1789
"268"	"ENSG00000269871"	"chr17"	6915928	6916080	"-"	522
"269"	"ENSG00000161939"	"chr17"	6915954	6916080	"+"	1947
"270"	"ENSG00000258315"	"chr17"	6917814	6918197	"+"	2628
"271"	"ENSG00000267532"	"chr17"	6919137	6922978	"-"	3842
"272"	"ENSG00000161940"	"chr17"	6926339	6926418	"+"	4373
"273"	"ENSG00000174327"	"chr17"	6939394	6940383	"+"	2087
"274"	"ENSG00000174326"	"chr17"	6944949	6945227	"-"	2041
"275"	"ENSG00000262067"	"chr17"	6962253	6962523	"+"	271
"276"	"ENSG00000132514"	"chr17"	6977856	6979204	"-"	2469
"277"	"ENSG00000161944"	"chr17"	7004641	7005059	"-"	2490
"278"	"ENSG00000213876"	"chr17"	7044249	7044911	"+"	663
"279"	"ENSG00000141505"	"chr17"	7076750	7077386	"-"	3748
"280"	"ENSG00000132535"	"chr17"	7093209	7094133	"-"	5746
"281"	"ENSG00000072778"	"chr17"	7120444	7120492	"+"	4865
"282"	"ENSG00000199053"	"chr17"	7126616	7126698	"-"	83
"283"	"ENSG00000004975"	"chr17"	7128660	7129632	"-"	5350
"284"	"ENSG00000040633"	"chr17"	7138347	7139159	"-"	2783
"285"	"ENSG00000170296"	"chr17"	7143333	7144238	"-"	2266
"286"	"ENSG00000262526"	"chr17"	7143746	7144238	"-"	776
"287"	"ENSG00000175826"	"chr17"	7146910	7147564	"-"	2584
"288"	"ENSG00000262302"	"chr17"	7150148	7150181	"-"	489
"289"	"ENSG00000170291"	"chr17"	7154735	7154892	"+"	2737
"290"	"ENSG00000181885"	"chr17"	7163222	7163855	"-"	2492
"291"	"ENSG00000202251"	"chr17"	7169374	7169485	"-"	112
"292"	"ENSG00000181856"	"chr17"	7184986	7185286	"+"	4046
"293"	"ENSG00000263342"	"chr17"	7186266	7186635	"-"	415
"294"	"ENSG00000006047"	"chr17"	7191571	7191962	"-"	4618
"295"	"ENSG00000132507"	"chr17"	7210318	7210434	"+"	2807
"296"	"ENSG00000132522"	"chr17"	7214643	7214909	"-"	3089
"297"	"ENSG00000261915"	"chr17"	7215980	7216158	"-"	2571
"298"	"ENSG00000215041"	"chr17"	7218947	7219646	"-"	6170
"299"	"ENSG00000224647"	"chr17"	7233771	7234273	"+"	1293
"300"	"ENSG00000072818"	"chr17"	7239848	7240106	"+"	7421
"301"	"ENSG00000213859"	"chr17"	7255208	7258258	"+"	3051
"302"	"ENSG00000263171"	"chr17"	7256006	7256151	"-"	421
"303"	"ENSG00000182896"	"chr17"	7258442	7258692	"+"	1224
"304"	"ENSG00000174292"	"chr17"	7283853	7284066	"+"	3860
"305"	"ENSG00000187838"	"chr17"	7293046	7293760	"-"	3227
"306"	"ENSG00000262481"	"chr17"	7293053	7293760	"-"	2557
"307"	"ENSG00000205544"	"chr17"	7306294	7306799	"-"	707
"308"	"ENSG00000169992"	"chr17"	7308193	7308929	"+"	5550
"309"	"ENSG00000262880"	"chr17"	7323422	7323478	"+"	1975
"310"	"ENSG00000181323"	"chr17"	7323679	7323847	"+"	982
"311"	"ENSG00000184560"	"chr17"	7328934	7329145	"+"	1651
"312"	"ENSG00000181284"	"chr17"	7338762	7339404	"+"	2129
"313"	"ENSG00000262624"	"chr17"	7339876	7339953	"-"	327
"314"	"ENSG00000161958"	"chr17"	7341592	7341849	"+"	5565
"315"	"ENSG00000263301"	"chr17"	7342478	7342738	"-"	330
"316"	"ENSG00000272884"	"chr17"	7342825	7344900	"+"	5553
"317"	"ENSG00000170175"	"chr17"	7348380	7348504	"+"	4329
"318"	"ENSG00000174282"	"chr17"	7362685	7367209	"-"	6026
"319"	"ENSG00000259224"	"chr17"	7384721	7384838	"+"	1195
"320"	"ENSG00000181222"	"chr17"	7387685	7388176	"+"	8353
"321"	"ENSG00000201489"	"chr17"	7440413	7440513	"-"	101
"322"	"ENSG00000239697"	"chr17"	7452208	7452629	"+"	3149
"323"	"ENSG00000248871"	"chr17"	7452416	7452629	"+"	1816
"324"	"ENSG00000161955"	"chr17"	7461609	7461692	"+"	2176
"325"	"ENSG00000161956"	"chr17"	7465192	7465580	"+"	3669
"326"	"ENSG00000265500"	"chr17"	7466604	7467108	"+"	3520
"327"	"ENSG00000161960"	"chr17"	7476024	7476182	"+"	5316
"328"	"ENSG00000264772"	"chr17"	7476144	7476182	"+"	4554
"329"	"ENSG00000209582"	"chr17"	7478031	7478165	"+"	135
"330"	"ENSG00000238917"	"chr17"	7480129	7480270	"+"	142
"331"	"ENSG00000129226"	"chr17"	7482785	7483044	"+"	2187
"332"	"ENSG00000233223"	"chr17"	7485282	7485481	"-"	1058
"333"	"ENSG00000129255"	"chr17"	7486847	7487574	"+"	3270
"334"	"ENSG00000129194"	"chr17"	7491496	7491864	"-"	1541
"335"	"ENSG00000129245"	"chr17"	7494548	7495243	"-"	4331
"336"	"ENSG00000251860"	"chr17"	7514499	7514591	"+"	93
"337"	"ENSG00000268503"	"chr17"	7517264	7517427	"+"	164
"338"	"ENSG00000129214"	"chr17"	7517382	7517429	"+"	1812
"339"	"ENSG00000141504"	"chr17"	7529552	7531194	"-"	1643
"340"	"ENSG00000129244"	"chr17"	7549945	7550019	"+"	3276
"341"	"ENSG00000141510"	"chr17"	7565097	7565332	"-"	3924
"342"	"ENSG00000262251"	"chr17"	7588578	7589689	"-"	1112
"343"	"ENSG00000141499"	"chr17"	7589389	7589542	"+"	5087
"344"	"ENSG00000108947"	"chr17"	7608520	7609038	"+"	3222
"345"	"ENSG00000183914"	"chr17"	7620672	7622117	"+"	17231
"346"	"ENSG00000240480"	"chr17"	7657638	7658294	"+"	657
"347"	"ENSG00000132510"	"chr17"	7743222	7743342	"+"	7258
"348"	"ENSG00000167874"	"chr17"	7758383	7758602	"+"	875
"349"	"ENSG00000183011"	"chr17"	7760003	7760161	"-"	1943
"350"	"ENSG00000182224"	"chr17"	7761064	7762142	"+"	3980
"351"	"ENSG00000170004"	"chr17"	7788124	7788401	"+"	9758
"352"	"ENSG00000252835"	"chr17"	7809440	7809578	"+"	139
"353"	"ENSG00000179859"	"chr17"	7816642	7818895	"-"	2529
"354"	"ENSG00000170049"	"chr17"	7825177	7826497	"-"	4580
"355"	"ENSG00000262730"	"chr17"	7829249	7829293	"-"	348
"356"	"ENSG00000170043"	"chr17"	7833663	7834052	"-"	1171
"357"	"ENSG00000170037"	"chr17"	7835419	7835456	"+"	6234
"358"	"ENSG00000262492"	"chr17"	7858186	7858284	"+"	430
"359"	"ENSG00000132518"	"chr17"	7905912	7906052	"+"	4040
"360"	"ENSG00000238676"	"chr17"	7937805	7937902	"-"	98
"361"	"ENSG00000179593"	"chr17"	7942335	7942620	"+"	3028
"362"	"ENSG00000263427"	"chr17"	7959543	7960009	"-"	517
"363"	"ENSG00000179477"	"chr17"	7975954	7976268	"-"	2656
"364"	"ENSG00000214999"	"chr17"	7982800	7982842	"+"	1804
"365"	"ENSG00000264005"	"chr17"	7991374	7991465	"+"	92
"366"	"ENSG00000179148"	"chr17"	7999218	8000124	"-"	3760
"367"	"ENSG00000179111"	"chr17"	8023908	8025355	"-"	1868
"368"	"ENSG00000179094"	"chr17"	8043790	8044658	"-"	7002
"369"	"ENSG00000263620"	"chr17"	8054134	8054163	"-"	460
"370"	"ENSG00000220205"	"chr17"	8062467	8064842	"-"	3268
"371"	"ENSG00000179029"	"chr17"	8076555	8079717	"-"	3163
"372"	"ENSG00000200463"	"chr17"	8076772	8076905	"-"	134
"373"	"ENSG00000266824"	"chr17"	8080130	8080326	"+"	465
"374"	"ENSG00000266638"	"chr17"	8090493	8090577	"+"	85
"375"	"ENSG00000196544"	"chr17"	8091652	8093564	"-"	1913
"376"	"ENSG00000271002"	"chr17"	8102441	8102755	"-"	315
"377"	"ENSG00000178999"	"chr17"	8108056	8108362	"-"	2236
"378"	"ENSG00000178977"	"chr17"	8123960	8124827	"-"	2082
"379"	"ENSG00000269928"	"chr17"	8128139	8128798	"-"	660
"380"	"ENSG00000178971"	"chr17"	8130191	8131637	"-"	6315
"381"	"ENSG00000178921"	"chr17"	8150936	8151174	"+"	6471
"382"	"ENSG00000269947"	"chr17"	8181081	8181754	"+"	674
"383"	"ENSG00000125434"	"chr17"	8191081	8192961	"-"	3897
"384"	"ENSG00000108961"	"chr17"	8191815	8192183	"+"	1577
"385"	"ENSG00000271029"	"chr17"	8199823	8200053	"-"	398
"386"	"ENSG00000198844"	"chr17"	8213559	8213661	"+"	5291
"387"	"ENSG00000226871"	"chr17"	8221406	8221795	"-"	537
"388"	"ENSG00000212206"	"chr17"	8232901	8233037	"+"	137
"389"	"ENSG00000266279"	"chr17"	8241015	8241226	"+"	548
"390"	"ENSG00000184650"	"chr17"	8243182	8243823	"+"	1156
"391"	"ENSG00000198150"	"chr17"	8261731	8263538	"-"	1808
"392"	"ENSG00000265749"	"chr17"	8268881	8269039	"+"	1408
"393"	"ENSG00000184619"	"chr17"	8271955	8273704	"-"	2794
